,choose_one,text_no_rt,user
2145,Other,CPR for babies same for child but 2 fingers on chest and breaths to babys mouth and nose  #1stAid4 #okwx #Joplin, 
2146,Informative (Direct),Tornado Warning This afternoon?, 
2147,Personal only,Burglaries on the rise in parts of north minneapolis hit by tornado. Stay classy y'all., 
2148,Informative (Direct),Softball sized hail and #tornado possible in NW Tarrant County moving east. LIVE VIDEO - http://tinyurl.com/22sa7dp  #txwx, 
2149,Informative (Indirect),New #tornado horror in #Oklahoma as at least two people die when twisters hit rush hour traffic.. http://bit.ly/jSAiIM, 
2150,Personal only,Golly more nasty tornado's?, 
2151,Personal only,this pesky tornado warning is getting in the way of my plans ~ top floor of my apartment building ~ gorgeous view of impending doom ~ Shit!, 
2152,Other,@andersoncooper is near a Tornado which means he must be wearing a wife beater and boyshorts. #dangerisnearhisclothesdisappear, 
2153,Personal only,Well goodbye everybody #tornado, 
2154,Other,Tornado alley eh?, 
2155,Personal only,Tornado party at my house!!!!, 
2156,Personal only,please pray for the tornado victims.. PLEASE.., 
2157,Personal only,@jflanadoodle i had a dream about ya last night.. Sorry to be creepy. Also be thinkin of me. A tornado is about to destroy my city. Night!, 
2158,Personal only,#pray  #joplin, 
2159,Personal only,Can anyone in Piedmont tell me if Piedmont Road and just South of Ash was hit? #okwx, 
2160,Informative (Direct),Just south of Avondale debris noted..TORNADO ON THE GROUND, 
2161,Personal only,Awwh hell naw! They talking bout tornado comin our way! If I have to miss dis bulls game Imma be 2 pissed! Lol!, 
2162,Personal only,@Sarah_Liz98 the tornado is coming my way!!!!!!:(, 
2163,Personal only,@ChelseaKane please #pray  for #joplin  my hometown, 
2164,Informative (Direct),Everybody should stop worrying about this tornado. If it gets to us I'll stand in front of it and tell it to stop. #imhuge, 
2165,Informative (Direct),@ms_tierrawhite it's supposed to be a tornado/bad storm comin my way...but it aint in your area tho, 
2166,Other,If you have any tornado photos please send them to dailynews@ou.edu., 
2167,Informative (Direct),Wow.  Just emerged from hotel basement in Oklahoma City.  Tornado hits all around here.  Happy to be safe.  Please be safe out there!, 
2168,Informative (Indirect),4 Dead At Least 3 Kids Critically Injured in Oklahoma Tornado http://ow.ly/52g3x, 
2169,Informative (Direct or Indirect),Saginaw Haslet Eagle Mountain Lake -- TAKE COVER! Tornado on the ground. #TXWeather, 
2170,Informative (Indirect),Tornado warnings issued! Stop. Drop. And roll up your sleeves!, 
2171,Informative (Direct or Indirect),Tornado Warnings for Denton and Wise Counties until 8:15pm.   Take Cover now!  Rshade, 
2172,Personal only,omg lol no foo RT @_genesisNOsegaa: when it rains during a tornado does that make it a hurricane? * scratches head....  #pleasedontjudgeme, 
2173,Personal only,Tornado time, 
2174,Personal only,On the bright side it's still daylight enough to get some great tornado pics as it passes through Keller Texas in 15mins., 
2175,Personal only,@billiber please be safe! we just had a surprise tornado attack. our power just came back on after 5 hours in the dark. so scary., 
2176,Informative (Direct or Indirect),Damaging wind threat coming into Tulsa OK #tornado #okwx, 
2177,Informative (Direct or Indirect),Tornado!!!..., 
2178,Personal only,Like a good okie @phoone41 was outside watching the tornado form #countryass, 
2179,Informative (Direct),Tornado at highway 99 and highway 10 in OK...heavy rain strong hook echo...possible rain wrapped tornado...first r ..., 
2180,Personal only,Tornado coming straight too my side of the town. In words of biggie #Imreadytodie, 
2181,Personal only,@JOEY_roxx I love you...you better not die in a tornado or I will kill you &lt;3, 
2182,Personal only,Two tornado warnings spent in the basement so far. We are fine no damage., 
2183,Personal only,Well they finally put us under a tornado warning....rotation n progress..God protect us all!, 
2184,Personal only,Outside with my dad chilln watching for the tornado, 
2185,Personal only,Another tornado warning ugh, 
2186,Personal only,@JenniLoLo @anitasantiago Amen! What is going on here? Any idea? #Joplin needs help., 
2187,Informative (Direct or Indirect),Tornado Warning for Mitchell County in KS until 8:15pm CDT. #kswx, 
2188,Personal only,Me RT @halessssssssss: if a tornado comes i dont know who i can call.-_-, 
2189,Personal only,Grilling burgers n a lil scared bout this tornado watch, 
2190,Informative (Direct),Hiding. Tornado down., 
2191,Informative (Direct or Indirect),Wow ... Joplin under a tornado watch ..., 
2192,Informative (Direct or Indirect),Is the tornado really hitting?, 
2193,Personal only,Tornado watch? :/  #ihatetornadoseason, 
2194,Personal only,Glad your all fine my thoughts and prayers go out to all in the #tornado & flood areas @reddirtramblin @UniquebyDesign_ &gt; &gt; &gt;  #sosad, 
2195,Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
2196,Other,tornado, 
2197,Other,Tornado, 
2198,Other,#tornado, 
2199,Personal only,TORNADO, 
2200,Personal only,TORNADO, 
2201,Personal only,.@donnadb When #ARwx is too cluttered I follow the @arwx/wxexperts list for authoritative weather tweets., 
2202,Personal only,Anyone in the south who may be in tornado country -- I hope you're safe. Update when you can &lt;3, 
2203,Informative (Direct or Indirect),New Tornado watch just issued for Triangle and NE NC. #ncwx, 
2204,Informative (Direct),Under tornado watch. But most of the damage is north of us., 
2205,Personal only,Please pray for the families affected by the tornado outbreak in Joplin. They need it more than ever., 
2206,Informative (Direct),Spread the word #joplin @TideLoadsofHope will be there May 26 at 8am at Walmart 2623 W 7th St. They'll be ..., 
2207,Personal only,aw i feel bad...he's in a tornado #awkwardddd, 
2208,Informative (Direct),We're going to drop out our Oklahoma tornado livestream. More sources to look to listed here: http://bit.ly/knniva, 
2209,Informative (Direct),ok seriously... this tornado weather is looking serious, 
2210,Personal only,@GrmaEm seems like you're really in tornado alley this week., 
2211,Personal only,Man oh man. Enough with the tornadoes. Leave us alone already. Praying for #OK still praying for #Joplin #Tuscaloosa and the South., 
2212,Informative (Direct),Sand Springs is getting slammed right now! #okwx, 
2213,Personal only,Tonight's going to be filled with Xbox Food and a bunch of thunder. Maybe a few tornado's in the mix. #hopefullynot #saynototornado's, 
2214,Informative (Indirect),Tornado reported 2 miles west of Azle TX.  This is to the northwest of Ft. Worth.  Radar warning info: http://wxch.nl ..., 
2215,Informative (Direct or Indirect),tornado missed the job by a block... smdh hope everyone else is safe in OKC another storm headed this way suppose to be here in an hour, 
2216,Informative (Indirect),#Joplin #Tornado How you can help &gt; http://t.co/lbBojac via @cbsnews, 
2217,Personal only,@danieltosh when u gonna tell more of your tornado victim jokes cocksucker?, 
2218,Informative (Direct),And the thunder rolls...I hear Tornado Warnings for Tarrant and Denton. Get ready Collin. #TrainedStormSpotter, 
2219,Personal only,please pray for the tornado victims.. PLEASE.., 
2220,Informative (Direct or Indirect),Saginaw Haslet Eagle Mountain Lake -- TAKE COVER! Tornado on the ground. #TXWeather, 
2221,Personal only,Another tornado warning for #Joplin prayers going out for everyone there!, 
2222,Personal only,@kq2 raised more than 35k for #Joplin in a matter of hours. THAT'S MY STATION!!!!!!!!! I'm so proud! #stjoeproud, 
2223,Personal only,Prayin for #Joplin as more tornadic storms head there way... I wish there was something I could do to help these people :-/, 
2224,Informative (Direct or Indirect),US tornado kills 116 warnings more storms on way (AFP) http://clz.co/kMBod7, 
2225,Informative (Indirect),We are now under a TORNADO WARNING..  GOTTA GO!  SEE YA SOON TWEEPS! @newson6 @fox23 @KRMGTulsa, 
2226,Personal only,Text REDCROSS to 90999 to donate $10 to the victims of the Joplin tornado. Joplin needs all the help they can get! http://bit.ly/UGJd, 
2227,Informative (Direct or Indirect),@barnzi2011  Tornado activity is caused by 2 different temperatures coming together usually warm and cool and an open space to get strong, 
2228,Personal only,Lots of lightning & thunder yet my neighbor is cutting their grass - guess he thinks he's safe since the tornado is moving north of us, 
2229,Informative (Indirect),Tornado/severe outbreak continues midweek http://cot.ag/kR5U6A (via @weatherchannel), 
2230,Informative (Direct or Indirect),@bieberupmylife i meant #prayforjoplin joplin got a big tornado. And half the city is destroyed., 
2231,Informative (Direct),#Tulsa metro heads up! Storms are closing in & #tornado warnings likely if these storms maintain strength. Prep now f ..., 
2232,Informative (Direct or Indirect),Circulation center (not necessarily tornado) will approach Sherman area within 15 - 20 mins., 
2233,Personal only,Praying for the tornado victims., 
2234,Personal only,If you go to Jones or @YOUmediaChicago @IshimuraByrd will most likely be carrying around a jar for donations for the  ..., 
2235,Other,Asustada ay un mega tornado ke viene para donde vivo esstan las alarmas a todo lo ke da omg o_o estaba en un concierto de violin de mi hija, 
2236,Informative (Direct),And we're under tornado warning, 
2237,Personal only,Taking a shower be for the tornado. Just wanna feel fresh!, 
2238,Informative (Indirect),The emergency alert system just interrupted television with tornado warning. This weather is getting serious, 
2239,Personal only,I feel safe until they start mentioning these damn tornado warnings!!! /:, 
2240,Informative (Indirect),Tornado Kills 89 in Missouri. http://t.co/nVj84IQ, 
2241,Personal only,tornado  fuuucccckkkkkkk that, 
2242,Informative (Direct or Indirect),Tornado warnings.. be safe. #wishyouwereherewithme, 
2243,Personal only,Smoked the dunk come on man the tv cut off cus of the tornado warning., 
2244,Informative (Direct),We are now under a TORNADO WARNING..  GOTTA GO!  SEE YA SOON TWEEPS! @newson6 @fox23 @KRMGTulsa, 
2245,Informative (Direct),There is now a Tornado 3 miles SE of Springtown with debris on the ground!  Get to your storm shelter imm ..., 
2246,Informative (Direct),@TheFreshBrew Oh you guys are used to Tornado Sirens. I am in Tulsa... Waiting for the storm.  Lightening and Thunder are ahead of the storm, 
2247,Informative (Direct),Tornado sirens might be the most unsettling noise on Earth., 
2248,Informative (Direct),Rotation is right over our apt and the tornado siresn are going off! Ill be back later!, 
2249,Personal only,Not going to be a good night. Tornado watch until 3 am. They are taling supercell. Spooked. Lyle is at farm., 
2250,Personal only,Glad your all fine my thoughts and prayers go out to all in the #tornado & flood areas @reddirtramblin @UniquebyDesign_ & ..., 
2251,Personal only,PLEASE LET DIS TORNADO STAY AWAY FROM HERE ! CUZ I'M GONNA GET N DA CAR N HAUL ASS 2 DA NORTH !!!!, 
2252,Personal only,Tornado party ovaaa heerreeeee!! Ha. Here somes the rain., 
2253,Informative (Direct or Indirect),#sayitaintso RT @cnnbrk: Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
2254,Informative (Direct or Indirect),DEVELOPING: Tornado was reported on the ground on the west side of Azle Texas moving E at 35 mph (738 pm CDT), 
2255,Informative (Direct),#Joplin #severe threat accelerated!    2 hours from now.   RIGHT NOW Damaging winds and hail appear to be biggest threat., 
2256,Informative (Indirect),tornado alarms going off -___-, 
2257,Personal only,@jroby glad to see overalls are already an integral part of tornado precautions :-), 
